Date;Local;Visitor;HG;AG;Outcome;1.5+;2.5+;3.5+;TG;BTS;hCS;aCS;HTh;HTa;FG;sample
13. Sep;Vitoria Setubal;Sporting Braga;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
14. Sep;Benfica;Gil Vicente;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
14. Sep;Famalicao;Pacos Ferreira;4;2;Home win;+;+;+;6;+;-;-;1;0;L;0
14. Sep;Guimaraes;Aves;5;1;Home win;+;+;+;6;+;-;-;2;1;L;0
15. Sep;Boavista;Sporting CP;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
15. Sep;Maritimo;Belenenses;1;3;Away win;+;+;+;4;+;-;-;0;2;V;0
15. Sep;Portimonense;FC Porto;2;3;Away win;+;+;+;5;+;-;-;0;2;V;0
15. Sep;Rio Ave;Tondela;2;4;Away win;+;+;+;6;+;-;-;1;2;V;0
15. Sep;Santa Clara;Moreirense;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
20. Sep;Pacos Ferreira;Aves;2;1;Home win;+;+;-;3;+;-;-;0;1;V;0
21. Sep;Belenenses;Rio Ave;0;2;Away win;+;-;-;2;-;-;+;0;1;V;0
21. Sep;Moreirense;Benfica;1;2;Away win;+;+;-;3;+;-;-;0;0;L;0
22. Sep;FC Porto;Santa Clara;2;0;Home win;+;-;-;2;-;+;-;2;0;L;0
22. Sep;Gil Vicente;Boavista;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
22. Sep;Tondela;Guimaraes;1;3;Away win;+;+;+;4;+;-;-;1;3;V;0
22. Sep;Vitoria Setubal;Portimonense;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
23. Sep;Sporting Braga;Maritimo;2;2;Draw;+;+;+;4;+;-;-;0;1;V;0
23. Sep;Sporting CP;Famalicao;1;2;Away win;+;+;-;3;+;-;-;1;0;L;0
27. Sep;Boavista;Tondela;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
28. Sep;Benfica;Vitoria Setubal;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
28. Sep;Famalicao;Belenenses;3;1;Home win;+;+;+;4;+;-;-;0;1;V;0
28. Sep;Maritimo;Moreirense;2;1;Home win;+;+;-;3;+;-;-;0;0;V;0
29. Sep;Guimaraes;Pacos Ferreira;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
29. Sep;Portimonense;Sporting Braga;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
29. Sep;Rio Ave;FC Porto;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
29. Sep;Santa Clara;Gil Vicente;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
30. Sep;Aves;Sporting CP;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
5 Oct;Aves;Tondela;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
25 Oct;Pacos Ferreira;Rio Ave;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
26 Oct;Belenenses;Aves;3;2;Home win;+;+;+;5;+;-;-;2;2;V;0
26 Oct;Gil Vicente;Portimonense;1;1;Draw;+;-;-;2;+;-;-;1;1;V;0
26 Oct;Moreirense;Boavista;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
26 Oct;Vitoria Setubal;Maritimo;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
27 Oct;FC Porto;Famalicao;3;0;Home win;+;+;-;3;-;+;-;1;0;L;0
27 Oct;Sporting CP;Guimaraes;3;1;Home win;+;+;+;4;+;-;-;2;0;L;0
27 Oct;Tondela;Benfica;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
28 Oct;Sporting Braga;Santa Clara;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
30 Oct;Benfica;Portimonense;4;0;Home win;+;+;+;4;-;+;-;1;0;L;0
30 Oct;Famalicao;Gil Vicente;2;1;Home win;+;+;-;3;+;-;-;1;0;L;0
30 Oct;Guimaraes;Belenenses;5;0;Home win;+;+;+;5;-;+;-;2;0;L;0
30 Oct;Maritimo;FC Porto;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
30 Oct;Rio Ave;Moreirense;1;1;Draw;+;-;-;2;+;-;-;0;1;V;0
31 Oct;Boavista;Sporting Braga;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
31 Oct;Pacos Ferreira;Sporting CP;1;2;Away win;+;+;-;3;+;-;-;0;1;V;0
31 Oct;Santa Clara;Vitoria Setubal;1;1;Draw;+;-;-;2;+;-;-;1;1;L;0
02. Nov;Benfica;Rio Ave;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
02. Nov;Moreirense;Guimaraes;1;1;Draw;+;-;-;2;+;-;-;0;0;V;0
03. Nov;FC Porto;Aves;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
03. Nov;Gil Vicente;Maritimo;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
03. Nov;Sporting Braga;Famalicao;2;2;Draw;+;+;+;4;+;-;-;0;0;V;0
03. Nov;Tondela;Sporting CP;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
04. Nov;Belenenses;Pacos Ferreira;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
04. Nov;Portimonense;Santa Clara;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
04. Nov;Vitoria Setubal;Boavista;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
08. Nov;Aves;Gil Vicente;1;2;Away win;+;+;-;3;+;-;-;1;2;V;0
09. Nov;Famalicao;Moreirense;3;3;Draw;+;+;+;6;+;-;-;2;0;L;0
09. Nov;Rio Ave;Vitoria Setubal;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
09. Nov;Santa Clara;Benfica;1;2;Away win;+;+;-;3;+;-;-;1;0;L;0
10. Nov;Boavista;FC Porto;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
10. Nov;Guimaraes;Sporting Braga;0;2;Away win;+;-;-;2;-;-;+;0;1;V;0
10. Nov;Maritimo;Portimonense;1;1;Draw;+;-;-;2;+;-;-;0;1;V;0
10. Nov;Pacos Ferreira;Tondela;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
10. Nov;Sporting CP;Belenenses;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
29. Nov;Santa Clara;Boavista;1;2;Away win;+;+;-;3;+;-;-;0;2;V;0
30. Nov;Benfica;Maritimo;4;0;Home win;+;+;+;4;-;+;-;3;0;L;0
30. Nov;Moreirense;Aves;3;2;Home win;+;+;+;5;+;-;-;2;1;V;0
30. Nov;Portimonense;Famalicao;2;1;Home win;+;+;-;3;+;-;-;1;0;L;0
1 Dec;Gil Vicente;Sporting CP;3;1;Home win;+;+;+;4;+;-;-;1;1;L;0
1 Dec;Tondela;Belenenses;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
1 Dec;Vitoria Setubal;Guimaraes;1;1;Draw;+;-;-;2;+;-;-;0;0;V;0
2 Dec;FC Porto;Pacos Ferreira;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
2 Dec;Sporting Braga;Rio Ave;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
6 Dec;Boavista;Benfica;1;4;Away win;+;+;+;5;+;-;-;1;1;V;0
7 Dec;Aves;Sporting Braga;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
7 Dec;Famalicao;Tondela;2;3;Away win;+;+;+;5;+;-;-;1;2;V;0
7 Dec;Maritimo;Santa Clara;2;2;Draw;+;+;+;4;+;-;-;1;1;L;0
8 Dec;Belenenses;FC Porto;1;1;Draw;+;-;-;2;+;-;-;1;1;L;0
8 Dec;Guimaraes;Portimonense;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
8 Dec;Pacos Ferreira;Vitoria Setubal;2;3;Away win;+;+;+;5;+;-;-;0;1;V;0
8 Dec;Sporting CP;Moreirense;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
9 Dec;Rio Ave;Gil Vicente;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
13 Dec;Portimonense;Rio Ave;1;1;Draw;+;-;-;2;+;-;-;0;1;V;0
14 Dec;Benfica;Famalicao;4;0;Home win;+;+;+;4;-;+;-;1;0;L;0
14 Dec;Maritimo;Boavista;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
14 Dec;Vitoria Setubal;Aves;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
15 Dec;Gil Vicente;Guimaraes;2;2;Draw;+;+;+;4;+;-;-;2;0;L;0
15 Dec;Moreirense;Belenenses;2;1;Home win;+;+;-;3;+;-;-;0;1;V;0
15 Dec;Sporting Braga;Pacos Ferreira;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
16 Dec;FC Porto;Tondela;3;0;Home win;+;+;-;3;-;+;-;2;0;L;0
16 Dec;Santa Clara;Sporting CP;0;4;Away win;+;+;+;4;-;-;+;0;1;V;0
04. Jan;Aves;Santa Clara;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
04. Jan;Belenenses;Sporting Braga;1;7;Away win;+;+;+;8;+;-;-;1;4;V;0
04. Jan;Boavista;Portimonense;1;1;Draw;+;-;-;2;+;-;-;0;0;L;0
04. Jan;Guimaraes;Benfica;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
05. Jan;Famalicao;Vitoria Setubal;3;0;Home win;+;+;-;3;-;+;-;1;0;L;0
05. Jan;Pacos Ferreira;Moreirense;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
05. Jan;Rio Ave;Maritimo;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
05. Jan;Sporting CP;FC Porto;1;2;Away win;+;+;-;3;+;-;-;1;1;V;0
05. Jan;Tondela;Gil Vicente;1;1;Draw;+;-;-;2;+;-;-;1;1;L;0
10. Jan;Benfica;Aves;2;1;Home win;+;+;-;3;+;-;-;0;1;V;0
10. Jan;Moreirense;FC Porto;2;4;Away win;+;+;+;6;+;-;-;2;2;L;0
10. Jan;Santa Clara;Rio Ave;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
11. Jan;Boavista;Famalicao;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
11. Jan;Portimonense;Pacos Ferreira;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
11. Jan;Vitoria Setubal;Sporting CP;1;3;Away win;+;+;+;4;+;-;-;0;2;V;0
12. Jan;Gil Vicente;Belenenses;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
12. Jan;Maritimo;Guimaraes;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
12. Jan;Sporting Braga;Tondela;2;1;Home win;+;+;-;3;+;-;-;0;1;V;0
17. Jan;FC Porto;Sporting Braga;1;2;Away win;+;+;-;3;+;-;-;0;1;V;0
17. Jan;Sporting CP;Benfica;0;2;Away win;+;-;-;2;-;-;+;0;0;V;0
18. Jan;Aves;Portimonense;3;0;Home win;+;+;-;3;-;+;-;0;0;L;0
18. Jan;Belenenses;Vitoria Setubal;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
18. Jan;Guimaraes;Santa Clara;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
18. Jan;Tondela;Moreirense;1;1;Draw;+;-;-;2;+;-;-;0;0;L;0
19. Jan;Famalicao;Maritimo;1;1;Draw;+;-;-;2;+;-;-;0;1;V;0
19. Jan;Pacos Ferreira;Gil Vicente;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
19. Jan;Rio Ave;Boavista;2;0;Home win;+;-;-;2;-;+;-;2;0;L;0
26. Jan;Aves;Boavista;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
26. Jan;Belenenses;Portimonense;2;1;Home win;+;+;-;3;+;-;-;1;0;L;0
26. Jan;Famalicao;Santa Clara;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
26. Jan;Pacos Ferreira;Benfica;0;2;Away win;+;-;-;2;-;-;+;0;1;V;0
26. Jan;Tondela;Vitoria Setubal;0;3;Away win;+;+;-;3;-;-;+;0;2;V;0
27. Jan;Guimaraes;Rio Ave;1;2;Away win;+;+;-;3;+;-;-;0;2;V;0
27. Jan;Sporting CP;Maritimo;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
28. Jan;FC Porto;Gil Vicente;2;1;Home win;+;+;-;3;+;-;-;1;1;L;0
29. Jan;Moreirense;Sporting Braga;1;2;Away win;+;+;-;3;+;-;-;0;2;V;0
31. Jan;Benfica;Belenenses;3;2;Home win;+;+;+;5;+;-;-;2;0;L;0
31. Jan;Rio Ave;Famalicao;2;2;Draw;+;+;+;4;+;-;-;0;2;V;0
01. Feb;Portimonense;Tondela;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
01. Feb;Vitoria Setubal;FC Porto;0;4;Away win;+;+;+;4;-;-;+;0;2;V;0
02. Feb;Boavista;Guimaraes;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
